币种,流通市值,全球指数,24H成交额,流通数量,24H涨幅
HPC-算力坊,"¥4,496.37万",¥0.089927,¥460.18万,5亿,+0.89%
ATX-Aston,"¥4,365万",¥0.052973,¥568.06,8.24亿,+12.05%
SDA-六域链,"¥4,351.29万",¥0.035666,¥44.07万,12.2亿*,+1.41%
SINOC-新诺科,"¥4,317.76万",¥0.068536,¥11.58万,6.3亿,+6.45%
ACG-艺术全球,"¥4,224.71万",¥0.030177,--,14亿*,-2.09%
DEW-DEW,"¥4,222.7万",¥0.4090,¥183.35万,1.03亿,+3.30%
MFT-Mainframe,"¥4,219.81万",¥0.019502,¥978.42万,21.64亿,+1.46%
LYL-LoyalCoin,"¥4,158.37万",¥0.007767,¥20208.65,53.54亿,+7.99%
COSM-Cosmo Coin,"¥4,122.2万",¥0.061454,¥18.69万,6.71亿,-10.37%
PNT-梵塔网络,"¥4,120万",¥0.002289,¥153.65万,180亿,-2.82%
777-777,"¥4,084.46万",¥0.008169,--,50亿*,+10.17%
PAT-Patron,"¥4,062.98万",¥0.1467,¥826.07万,2.77亿,-9.50%
MXC-MXC,"¥4,060.27万",¥0.050786,¥859.8万,7.99亿*,-1.95%
CGK-菠菜,"¥4,025.79万",¥0.1372,¥275.91万,2.93亿*,-7.08%
KEY-Selfkey,"¥4,017.65万",¥0.017473,¥89.06万,22.99亿,+4.98%
HLC-绿色食品链,"¥3,817.93万",¥0.076359,¥85.44万,5亿,-11.62%
YCC-原链,"¥3,808.93万",¥0.038089,¥239.36万,10亿*,-1.28%
ZT-ZBG Token,"¥3,777.85万",¥0.3778,--,1亿*,+1.70%
YKC-云开币,"¥3,678.52万",¥2.9858,¥552.2万,"1,232万*",+12.30%
ZZEX-ZZEX Coin,"¥3,652.71万",¥0.6088,--,"6,000万*",+0.58%
PMD-金字塔,"¥3,600万",¥0.1800,--,2亿*,-9.03%
DAPS-DAPS Token,"¥3,582.96万",¥0.000687,¥47406.58,521.68亿,+34.57%
SPC-太空链,"¥3,476.26万",¥0.068162,¥187.89万,5.1亿,-20.46%
GST-GrEARN,"¥3,465.84万",¥0.028882,¥294.59,12亿*,+1.97%
YOU-YOU Token,"¥3,410.9万",¥0.031997,¥259.81万,10.66亿,+3.69%
BCV-币威,"¥3,295.33万",¥0.036615,¥866.42万,9亿*,-2.38%
RFR-Refereum,"¥3,232.42万",¥0.013652,¥488.6万,23.68亿,-0.14%
TRIO-Tripio,"¥3,210.45万",¥0.018345,¥227.57万,17.5亿*,-2.09%
FOTA-Fortuna,"¥3,089.8万",¥0.076532,¥171.42万,4.04亿*,-29.95%
HUM-Humanscape,"¥3,051.62万",¥0.000944,¥12.93万,323.24亿*,+2.33%
BUC-Bit Union Coin,"¥3,046.56万",¥0.032759,¥11672.34,9.3亿*,+3.78%
ECOM-Omnitude,"¥3,016.1万",¥0.5792,¥68万,"5,207.51万",+4.92%
DTA-DATA,"¥2,993.2万",¥0.006507,¥337.27万,46亿,+9.15%
PLY-PlayCoin [ERC20],"¥2,967.95万",¥0.2023,¥128.71万,1.47亿,+0.23%
META-Metadium,"¥2,959.56万",¥0.027262,¥156.91万,10.86亿,-7.12%
USE-Usechain Token,"¥2,926.59万",¥0.008363,¥47.57万,35亿*,+3.06%
EKT-通用积分,"¥2,886.29万",¥0.033956,¥60.1万,8.5亿*,+10.72%
ATN-ATN,"¥2,864.13万",¥0.3397,"¥2,862.82万","8,430.25万",+22.16%
CNN-CNN,"¥2,792.94万",¥0.000931,¥44.56万,300亿*,+4.67%
DOCK-Dock,"¥2,764.94万",¥0.063358,¥159.15万,4.36亿,+4.47%
CDR-数金币,"¥2,762.99万",¥0.3070,"¥3,399.09万","9,000万*",+0.67%
HORUS-HorusPay,"¥2,727.65万",¥0.031250,¥72394.81,8.73亿,-2.54%
GTC-G币,"¥2,695.23万",¥0.035396,¥486.87万,7.61亿*,+0.49%
ROX-Robotina,"¥2,633.55万",¥0.098062,¥98072,2.69亿,+3.48%
PTN-PalletOne,"¥2,534.86万",¥0.063371,¥46.77万,4亿*,+9.05%
SEELE-元一代币,"¥2,522.81万",¥0.036040,¥104.55万,7亿,-2.28%
CNET-Currency Network,"¥2,440.4万",¥0.2443,"¥5,146.9万","9,991.09万*",-15.16%
FTI-FANSTIME,"¥2,428.72万",¥0.006072,¥38.5万,40亿,+45.43%
JEX-JEX Token,"¥2,425.75万",¥0.024258,¥76.38万,10亿*,+4.78%
BWX-Blue Whale Token,"¥2,334.82万",¥0.000725,¥24.68万,322.06亿,-3.71%
DGX-Digix Gold Token,"¥2,268.93万",¥276.64,¥10.07万,82018,+0.57%
TTU-TaTaTu,"¥2,215.07万",¥0.2290,¥91633.85,"9,672.8万",+4.17%
ZCN-0chain,"¥2,211.1万",¥0.5513,¥14.14万,"4,011.02万",+3.09%
BRM-梵币,"¥2,195.84万",¥0.035459,¥48.08万,6.19亿,+3.91%
INO-INO COIN,"¥2,164.07万",¥1.0820,"¥1,289.56万","2,000万",+1.50%
NCS-牛币,"¥2,159.92万",¥0.043198,¥90181.03,5亿*,+25.39%
YEE-亿币,"¥2,141.92万",¥0.010710,¥583.88万,20亿,+5.21%
SWFTC-速币,"¥2,116.26万",¥0.006046,¥476.33万,35亿,+6.50%
NCC-NCC,"¥2,079.3万",¥0.039515,¥14299,5.26亿*,+1.81%
ISC-I Chain,"¥2,028.04万",¥0.1931,¥36.42万,1.05亿*,+2.27%
DIG-Dignity,"¥1,979.17万",¥0.037840,¥225.75万,5.23亿,-17.76%
IMT-Moneytoken,"¥1,954.68万",¥0.002073,¥21.3万,94.3亿,+835.56%
ECOREAL-Eco Real Estate,"¥1,932.04万",¥0.1228,¥23785.32,1.57亿,-51.60%
HMC-Hi Mutual Society,"¥1,898.51万",¥0.047463,¥63.91万,4亿*,+5.14%
HVN-Hiveterminal,"¥1,885.65万",¥0.045884,¥14714.78,4.11亿,+4.37%
ISR-Insureum,"¥1,872.2万",¥0.1075,¥104.21万,1.74亿*,+0.70%
SEC-社交电商链,"¥1,853.36万",¥0.068557,¥133.46万,2.7亿*,-23.41%
NEWOS-传播链,"¥1,843.55万",¥0.005267,¥1045.28,35亿*,+13.74%
PAI-PCHAIN Network,"¥1,828.79万",¥0.041890,¥106.23万,4.37亿*,-0.17%
EDN-Eden,"¥1,822.77万",¥0.022229,¥115.73万,8.2亿,+1.44%
DX-DxChain Token,"¥1,803.39万",¥0.000721,¥49.22万,250亿*,-1.27%
BOC-宾果币,"¥1,728.49万",¥0.086424,¥8829.21,2亿,+11.13%
AIDOC-天医,"¥1,724.39万",¥0.030793,¥758.62万,5.6亿,+11.73%
LIF-Winding Tree,"¥1,701.31万",¥0.8397,¥14577.09,"2,026.01万",-3.58%
IOG-Playgroundz,"¥1,687.33万",¥0.5911,"¥1,289.07万","2,854.51万",+2.72%
BCAC-商信链,"¥1,686.07万",¥0.038075,¥17.77万,4.43亿,+1.89%
BAAS-BaaSid,"¥1,684.94万",¥0.008024,¥18.84万,21亿,+7.81%
MVL-MVL,"¥1,635.49万",¥0.003101,¥506.46,52.75亿,+28.59%
TST-雷石,"¥1,633.95万",¥0.020048,¥298.40,8.15亿*,+5.31%
PAL-Pal Network,"¥1,618.16万",¥0.035223,¥160.64万,4.59亿,+5.81%
CSI-CSI,"¥1,610.31万",¥0.000230,¥28938.32,700亿*,+0.91%
TTF-TTF,"¥1,603.44万",¥0.049283,--,3.25亿,+5.30%
AVH-AVH,"¥1,602.11万",¥0.003204,¥653.94,50亿,-1.22%
HIT-HitChain,"¥1,601.11万",¥0.000680,¥342.08万,235.52亿,+3.26%
CEEK-CEEK VR,"¥1,572.39万",¥0.022915,¥22.61万,6.86亿,+3.34%
OWN-OWNDATA,"¥1,567.34万",¥0.001425,¥78349.88,110亿,-5.48%
TMT-Traxia,"¥1,556.01万",¥0.031630,¥55.13万,4.92亿,+5.37%
OTB-OTCBTC Token,"¥1,538.28万",¥0.1569,¥51640.78,"9,803.88万*",+5.99%
HPT-Huobi Pool Token,"¥1,485.91万",¥0.018574,¥410.37万,8亿*,+7.12%
DCC-DCC,"¥1,450.17万",¥0.008169,¥51486.47,17.75亿*,+2.98%
OC-海洋币,"¥1,437.31万",¥0.002613,¥35.14万,55亿*,-27.70%
WET-WeShow Token,"¥1,420.29万",¥0.088917,¥641.93万,1.6亿,-0.48%
CT-Coinyee Token,"¥1,414.05万",¥1.0100,--,"1,400万*",0%
BTT-BlockTrade,"¥1,408.55万",¥0.2546,¥289.43,"5,531.49万",+3.29%
FXT-FuzeX,"¥1,408.26万",¥0.018650,¥3122.05,7.55亿,-0.29%
IVY-Ivy,"¥1,403.11万",¥0.045691,¥3364.90,3.07亿,+1.89%
EBC-EBCoin,"¥1,390.08万",¥0.003717,¥14681.55,37.4亿,+3.81%
SEER-SEER,"¥1,387.05万",¥0.003383,¥22.46万,41亿,-1.67%
UUU-U Network,"¥1,386.15万",¥0.002352,¥98.36万,58.93亿*,+7.57%
BKX-班凯克斯,"¥1,376.51万",¥0.1986,¥528.22万,"6,931.04万",-8.52%
YEED-Yggdrash,"¥1,376.04万",¥0.002801,¥98.17万,49.12亿,+3.30%
HOT-Hydro,"¥1,336.93万",¥0.019045,¥24.56万,7.02亿*,+0.47%
MRK-MARK.SPACE,"¥1,328.86万",¥0.024278,¥63.72万,5.47亿,-1.92%
QCH-QChi,"¥1,315.9万",¥0.5695,¥43570.09,"2,310.55万*",+1.64%
OIO-Online,"¥1,311.17万",¥0.014939,¥71.7085,8.78亿*,-14.50%
SKM-时光簿,"¥1,309.7万",¥0.018539,¥516.66万,7.06亿,+3.73%
CBC-CashBet Coin,"¥1,294.89万",¥0.084472,¥16.35万,1.53亿,+6.82%
LCS-Local Coin Swap,"¥1,287.02万",¥0.2458,¥10.51万,"5,236.46万",+7.47%
SOC-All Sports Coin,"¥1,272.27万",¥0.021205,¥95.38万,6亿*,+4.39%
DATX-DATx,"¥1,268.5万",¥0.009117,¥45.79万,13.91亿,+2.05%
VITE-VITE,"¥1,249.2万",¥0.071506,¥172.09万,1.75亿,+5.65%
THPC-德扑币,"¥1,246.38万",¥0.003116,¥2917.34,40亿*,-12.98%
LET-林可爱,"¥1,244.44万",¥0.020741,"¥1,047.86万",6亿*,+0.45%
TOS-TOS,"¥1,236.76万",¥0.024735,¥70.99万,5亿*,+1.96%
CCC-控银币,"¥1,227.41万",¥0.013638,¥76949.81,9亿*,+8.07%
CONI-Coni Token,"¥1,217.31万",¥0.060865,¥87460.30,2亿,+3.14%
INC-影链,"¥1,210.18万",¥0.040339,¥120.96万,3亿,-7.80%
POCS-支付链,"¥1,169.4万",¥0.2924,¥20.08万,"4,000万",-12.64%
SSP-Smartshare,"¥1,158.15万",¥0.004633,¥278.44万,25亿,+37.34%
HOR-时光币,"¥1,140.44万",¥0.011880,¥45.57万,9.6亿*,+3.69%
GSC-光速链,"¥1,138.56万",¥0.032530,¥609.23万,3.5亿*,+23.28%
SAC-SAC,"¥1,137.3万",¥0.1580,¥69216.41,"7,200万*",+16.27%
BKK-币客币,"¥1,124.13万",¥0.1052,--,1.07亿*,+2.44%
DACS-DACSEE,"¥1,123.22万",¥0.015029,¥10.18万,7.47亿,+1.71%
UBEX-Ubex,"¥1,121.34万",¥0.003999,¥196.39万,28.04亿,+2.57%
TKGN-托肯卫士,"¥1,120.94万",¥0.050952,¥43945.17,2.2亿*,+5.81%
BKBT-币快报币,"¥1,109.67万",¥0.002774,¥33.44万,40亿,-15.28%
SOUL-Phantasma,"¥1,091.71万",¥0.1872,¥82.27万,"5,833.29万",+14.37%
UBT-Unibright,"¥1,088.42万",¥0.077985,¥46.53万,1.4亿,-2.91%
TOL-Tolar,"¥1,084.44万",¥0.034358,¥120.88万,3.16亿,+7.45%
PCH-POPCHAIN CASH,"¥1,080.79万",¥0.018013,¥77.49万,6亿*,-5.96%
NBC-Niobium Coin,"¥1,066.96万",¥0.2159,¥90650.40,"4,942.83万",+2.92%
CARD-Cardstack,"¥1,050.17万",¥0.004388,¥83.83万,23.93亿,+0.80%
KIND-Kind Ads Token,"¥1,048.29万",¥0.2968,¥3584.01,"3,531.96万",+9.32%
BXC-BonusCloud Token,"¥1,037.13万",¥0.007227,¥195.11万,14.35亿,-0.84%
OSCH-开源链,"¥1,027.68万",¥0.000642,¥13.81万,160亿*,-1.25%
MOL-摩尔,"¥1,024.98万",¥0.000802,¥874.35万,127.82亿*,+3.81%
MOF-分子未来,"¥1,005.54万",¥0.2011,¥183.49万,"5,000万*",+3.62%
FTT-FarmaTrust,¥994.39万,¥0.016573,¥28.39万,6亿,+2.80%
COIN-Coinvest,¥991.78万,¥0.8404,¥3058.50,"1,180.08万",-27.57%
KCASH-KCASH,¥987.9万,¥0.031755,¥240.32万,3.11亿,+2.46%
CZR-标准链,¥979.82万,¥0.031513,¥105.54万,3.11亿*,+13.94%
MAS-Midas Protocol,¥972.59万,¥0.037044,¥36.16万,2.63亿,+11.27%
PSM-普拉森,¥959.18万,¥0.004730,¥352.19,20.28亿,+16.72%
GEN-DAOstack,¥956.2万,¥0.2487,¥3701,"3,845.5万",+2.35%
PDX-PDX Blockchain,¥940.33万,¥0.004702,¥39.97万,20亿*,-2.63%
PXC-妖精币,¥932.5万,¥0.002487,--,37.5亿*,+11.63%
RMESH-RightMesh,¥909.24万,¥0.1515,¥47.91万,"5,999.97万",+1.17%
MR-怪兽,¥896.86万,¥0.1495,--,"6,000万*",+10.67%
BOX-ContentBox,¥891.48万,¥0.011886,¥92663.76,7.5亿,+0.41%
AIT-智能链,¥872.27万,¥0.013846,¥24.66万,6.3亿*,-5.42%
COMC-社区链,¥870.45万,¥0.2575,¥54310.21,"3,380万*",0%
VNX-VisionX,¥869.45万,¥0.002898,¥217.63万,30亿,-0.95%
BTMX-BTMX Token,¥849.41万,¥0.094379,--,"9,000万*",-3.85%
GENE-基因源码链,¥846.52万,¥0.021163,¥16.88万,4亿*,+1.42%
DTX-DaTa eXchange,¥843.19万,¥0.3815,¥13395.08,"2,209.99万",+23.33%
CNMC-农业生态链,¥837.51万,¥0.025379,¥18.66万,3.3亿*,+41.94%
BIKI-BIKI Token,¥830.41万,¥0.048280,--,1.72亿,-3.09%
XMX-XMAX,¥823.65万,¥0.001493,¥72.26万,55.15亿*,+3.39%
RED-红色令牌,¥817.69万,¥0.048100,¥43917.96,1.7亿*,+0.49%
BAI-BAIC,¥811.1万,¥0.000702,¥14.27万,115.5亿*,-12.42%
SS-豆匣,¥810.92万,¥0.028626,¥139.62万,2.83亿,-0.97%
FOXT-Fox Trading,¥810.17万,¥0.8972,¥161.09万,903万,+3.52%
STK-STK Token,¥808.39万,¥0.024874,¥18.61万,3.25亿*,+4.02%
EGT-Egretia Token,¥804.35万,¥0.002578,¥137.12万,31.2亿,+1.19%
DAG-DAG Token,¥803.32万,¥0.040166,¥39931.19,2亿*,+34.18%
LXT-闪付币,¥799.1万,¥0.011416,¥50.62万,7亿,+6.15%
SUSD-sUSD,¥796.58万,¥6.7304,¥14554.86,118.36万,+1.80%
MEET-CoinMeet,¥778.95万,¥0.038948,¥167.28万,2亿,+10.67%
LNC-Linker Coin,¥768.31万,¥0.068127,¥28758.53,1.13亿,+13.09%
BBC-Tradove B2BCoin,¥768.09万,¥0.015362,¥2489.03,5亿,-6.63%
DAX-DAEX,¥763.35万,¥0.021523,¥237.46万,3.55亿,-7.09%
DAG-Constellation,¥754.78万,¥0.011873,¥23.85万,6.36亿,+6.90%
GARD-Hashgard,¥754.71万,¥0.000486,¥163.22万,155.19亿,+6.36%
ARP-阿普协议,¥753.89万,¥0.030156,¥152.12,2.5亿,+2.66%
PC-推广链,¥748.98万,¥0.001498,¥30.16万,50亿,+4.20%
CBT-Commerceblock,¥747.24万,¥0.043129,¥3267.71,1.73亿,+149.56%
AT-AWARE Token,¥741.02万,¥0.024701,¥31870.20,3亿,-1.04%
ONL-On.Live,¥729.23万,¥0.3616,¥36.83万,"2,016.64万",+2.15%
KKG-KKGame Token,¥727.25万,¥0.002649,¥5096.23,27.46亿*,-1.99%
ETK-EnergiToken,¥726.25万,¥0.005329,¥12705.50,13.63亿,-5.30%
BOXX-BOXX Token,¥708.05万,¥0.3089,¥71.33万,"2,291.88万",+11.80%
CIT-海盗币,¥705.37万,¥0.015334,¥3557.70,4.6亿*,+823.06%
SNTR-Silent Notary,¥701.51万,¥0.00008404,¥63.69万,834.71亿,+4.73%
CP-CoinPark Token,¥696.35万,¥0.002533,--,27.49亿,+5.44%
WAB-WABnetwork,¥690.74万,¥0.000695,¥47793.91,99.4亿,+6.28%
PRMI-般若波罗蜜,¥689.62万,¥0.086203,--,"8,000万",-5.47%
OMX-Shivom,¥685.48万,¥0.010322,¥32502.04,6.64亿,-4.54%
AAA-AAAChain,¥684.28万,¥0.002281,¥41.84万,30亿*,+2.25%
ZPR-ZPER token,¥683.69万,¥0.007068,¥49.12万,9.67亿,+1.03%
VEX-Vexanium,¥683.62万,¥0.022651,¥10.39万,3.02亿,+0.62%
MT-MyToken,¥681.79万,¥0.007837,¥75.19万,8.7亿,+2.25%
RCCC-RCCC,¥681.58万,¥0.1136,¥95.02万,"6,000万*",+12.24%
CST-Cryptosolartech,¥681.23万,¥0.1060,¥16.01万,"6,427.88万",-2.35%
ABYSS-The Abyss,¥679.28万,¥0.030405,¥60.76万,2.23亿,-0.39%
EON-EON,¥677.88万,¥0.007532,¥24675.11,9亿*,-15.74%
LFT-Linfinity,¥675.08万,¥0.015002,¥39万,4.5亿,+7.17%
DIY-DIY链,¥658.77万,¥0.021959,¥85752.02,3亿*,-1.74%
OLT-OneLedger,¥658.04万,¥0.019377,¥127.05万,3.4亿,-0.10%
PNK-Pinakion,¥654.03万,¥0.037355,¥16749.60,1.75亿*,+0.06%
SVD-savedroid,¥645.96万,¥0.002403,¥3117.83,26.88亿,+4.18%
CAI-CAI,¥638.72万,¥0.000608,¥281.84万,105亿*,+1.86%
PYN-Paycent,¥637.05万,¥0.2078,¥12.69万,"3,066.28万",-29.84%
CCCX-Clipper Coin,¥630.77万,¥0.002523,--,25亿,+1.84%
KWATT-4NEW,¥624.21万,¥0.1143,¥38.52万,"5,461.37万",+0.64%
TOK-TOK Token,¥620.56万,¥0.041371,--,1.5亿*,+2.62%
BDT-BDT Token,¥620.02万,¥0.018138,¥2636,3.42亿,-22.01%
QOS-QOS Chain,¥615.67万,¥0.006157,¥37502.53,10亿,-12.18%
UNC-UniCoin,¥615.13万,¥0.000854,¥70944.13,72亿*,+6.16%
ADE-DMChain,¥601.74万,¥0.033430,¥279.46万,1.8亿*,+25.50%
0XBTC-0xBitcoin,¥582.13万,¥1.6580,¥202.95万,351.1万,+4.82%
EOP-柚子空间,¥581.52万,¥0.001938,¥35853.93,30亿*,-0.70%
QB-趣币,¥580.54万,¥0.5805,--,"1,000万*",-0.13%
HAND-梭哈,¥578.75万,¥0.00001447,¥70.61万,"4,000亿",+0.64%
ELI-Eligma Token,¥564.6万,¥0.040637,¥347.4万,1.39亿,-1.39%
RET-RealTract,¥564.2万,¥0.000940,¥53.79万,60亿,+3.27%
KC-千云链,¥552.02万,¥0.030668,¥78.46万,1.8亿*,+19.93%
BITX-BITX,¥548.25万,¥0.035736,¥64811.56,1.53亿,+3.08%
DAT-Datum,¥536.49万,¥0.005931,¥105.77万,9.05亿,+7.53%
FGC-法国菜,¥528.06万,¥0.015002,¥19.13万,3.52亿*,+0.05%
AIC-AI Crypto,¥524.8万,¥0.001749,¥74.86万,30亿,+1.62%
DAGT-DAGT,¥523.48万,¥0.2617,¥66289.51,"2,000万*",+6.97%
SCTK-SharesChain,¥520.71万,¥0.000651,--,80亿*,+21.50%
BSP-BSPNetwork,¥513.33万,¥0.048889,¥108.18万,1.05亿*,+24.98%
TGAME-Truegame,¥513万,¥0.062125,¥34.13万,"8,257.55万",+3.02%
18C-Block18,¥507.55万,¥0.011803,¥83.62万,4.3亿*,+3.80%
QBT-Qbao,¥503.75万,¥0.098775,¥35.52万,"5,100万",-0.42%
GET-Themis,¥503.63万,¥0.010073,¥11.53万,5亿,-1.29%
ABX-Arbidex,¥500.18万,¥0.2449,¥24.02万,"2,042.2万",+1.78%
STB-软资链,¥494.91万,¥0.032994,¥86.6万,1.5亿*,+3.14%
CB-COINBIG Token,¥492.9万,¥0.012323,--,4亿,+39.06%
PTT-质子链,¥482.91万,¥0.000878,¥23.9万,55亿*,-7.60%
HOTC-热度链,¥476.84万,¥0.015895,¥57.94万,3亿*,-20.86%
MTC-MTC Mesh Token,¥474.9万,¥0.011873,¥56181.45,4亿,+4.30%
HSC-哈希币,¥467.67万,¥0.000935,¥18732.85,50亿,+0.30%
SCC-SiaCashCoin,¥457.82万,¥0.000585,¥2990.38,78.25亿,+2.19%
ACAT-Alphacat,¥457.05万,¥0.001638,¥57.07万,27.9亿,-1.31%
IOV-车联网币,¥454.79万,¥0.003638,--,12.5亿,+4.77%
NPER-NPER,¥453.82万,¥0.090897,¥91409.69,"4,992.75万",+4.33%
CCL-CyClean,¥453.78万,¥0.006688,¥11478.92,6.78亿,-16.61%
BIZ-商链,¥448.6万,¥0.002991,¥4390.17,15亿*,+1.58%
INV-Invacio,¥448.14万,¥0.1372,¥10279.20,"3,265.62万",+9.95%
DIVX-Divi,¥445.89万,¥2.6369,¥175.30,169.1万,+6.63%
EDU-教育积分,¥444.32万,¥0.000741,¥195.88万,60亿*,+3.13%
VLD-Vetri,¥441.57万,¥0.020069,¥3561.16,2.2亿*,-25.09%
WAL-Whale Token,¥436.94万,¥0.058380,--,"7,484.35万",+7.75%
BTRCM-比特魔方,¥435.79万,¥0.1614,¥34.77万,"2,700万*",+15.77%
FACE-Faceter,¥434.94万,¥0.009242,¥73238.49,4.71亿,+9.58%
BUT-BitUP,¥429.6万,¥0.009547,¥29.73万,4.5亿*,-0.37%
UCN-优链,¥424.47万,¥0.014136,¥174.77万,3亿,+6.53%
CLN-Colu Local Network,¥419.19万,¥0.041350,¥11.92万,1.01亿,-1.38%
FTX-FintruX Network,¥409.79万,¥0.048210,¥313.15,"8,500万",+4.48%
AAC-锐角币,¥408.97万,¥0.016359,¥278.55万,2.5亿*,+2.39%
WIN-WinToken,¥407.61万,¥0.001294,¥87.81万,31.5亿*,+0.22%
EBKC-艾客部落,¥403.71万,¥0.006408,¥4061.68,6.3亿*,-29.64%
UC-优币,¥402.96万,¥0.001007,¥32196.82,40亿*,+1.36%
MLC-Mallcoin,¥397.52万,¥0.022568,--,1.76亿,-43.07%
FLP-Gameflip,¥396.45万,¥0.088633,¥29.51万,"4,473万*",+2.72%
XCEL-XcelToken,¥395.64万,¥0.053569,¥16.92万,"7,385.73万",-20.52%
TAT-乐块,¥392.38万,¥0.000785,¥15.21万,50亿*,-6.82%
PORTAL-Portal,¥380.27万,¥0.012676,¥50.61万,3亿*,+5.30%
HER-HeroNode,¥378.99万,¥0.003997,¥20.08万,9.48亿,-4.36%
SRCOIN-SRCOIN,¥371.64万,¥0.000736,¥58213.98,50.52亿,+1.67%
DB-数字区块,¥369.29万,¥0.005059,--,7.3亿*,+22.19%
LIKE-赞赏币,¥361.16万,¥0.007684,¥15.05万,4.7亿,-0.89%
SOP-SoPay,¥357.31万,¥0.007352,¥9237.94,4.86亿,-0.50%
SKYFT-SKYFT Token,¥356.88万,¥0.018844,¥56.74万,1.89亿*,-3.10%
CAN-CAN,¥355.76万,¥0.011859,¥18069.30,3亿*,+3.45%
EQUAD-QuadrantProtocol,¥353.74万,¥0.011803,¥41.24万,3亿,+16.32%
MX-抹茶,¥353.48万,¥0.011783,¥799.41万,3亿*,-1.30%
IMOS-智造链,¥352.72万,¥0.014109,¥31847.42,2.5亿*,-3.70%
THRT-Thrive Token,¥350.57万,¥0.033977,¥14.13万,1.03亿,+5.24%
EXT-历链,¥349.05万,¥0.000698,¥18.03万,50亿*,+14.93%
GUS-竞赛币,¥348.67万,¥0.009962,¥405.05,3.5亿*,+20.67%
TAC-溯源链,¥346.42万,¥0.011547,¥58.6万,3亿*,+10.39%
VCT-ValueCyber,¥343.88万,¥0.057314,¥31690.76,"6,000万*",+4.03%
ERT-Eristica,¥342.63万,¥0.020457,--,1.67亿,+7.70%
PT-Predict Token,¥340.67万,¥0.034067,¥437.5万,1亿,-0.54%
WIX-Wixlar,¥340.27万,¥0.1084,¥29524.40,"3,139.71万",-42.32%
VNT-维特链,¥333.8万,¥0.004769,¥17.37万,7亿*,+17.02%
PHI-PHI Token,¥332.18万,¥0.5712,¥682.74,581.58万,-3.51%
IFOOD-Ifoods Chain,¥330.58万,¥0.001322,¥34.66万,25亿*,+8.31%
HTB-HTB,¥329万,¥0.003290,¥93.71万,10亿*,+1.92%
LKN-LinkCoin Token,¥319.02万,¥0.006380,¥1695.19,5亿*,+7.21%
RCT-真链,¥315.84万,¥0.004512,¥94.83万,7亿*,-2.07%
CEN-CEN,¥309.37万,¥0.025781,--,1.2亿,+11.49%
DAN-Daneel,¥308.31万,¥0.074046,¥55583.04,"4,163.75万",-12.01%
OPX-Opes Protocol,¥307.4万,¥0.005123,--,6亿*,+0.25%
BETHER-Bethereum,¥301.52万,¥0.010550,¥41372.17,2.86亿*,+4.60%
LUC-Level Up Coin,¥291.38万,¥0.002923,¥2190.24,9.97亿,-3.54%
FREE-FREE Coin,¥265.44万,¥0.00000069,¥3031.36,3.83万亿,-0.30%
RLX-Relex,¥290.14万,¥0.002179,¥8146.35,13.32亿,-7.80%
RRC-RRCoin,¥287.66万,¥0.010654,¥13189.06,2.7亿,+5.35%
HB-HeartBout,¥285.62万,¥0.053693,¥121.17万,"5,319.53万",-1.56%
SEXC-ShareX,¥283.98万,¥0.003550,--,8亿,+3.51%
LION-Coin Lion,¥280.83万,¥0.087144,¥7880.65,"3,222.61万",+21.49%
MUSK-MUSK Token,¥277.67万,¥0.009256,¥137.58万,3亿*,+9.77%
ZIPT-Zippie,¥277.18万,¥0.011817,¥21979.37,2.35亿,+1.19%
ALC-Allcoin,¥274.5万,¥0.090689,¥4.7158,"3,026.78万",0%
CAF-方圆,¥272.9万,¥0.009097,¥48.36万,3亿*,-28.39%
NPXSXEM-Pundi X NEM,¥269.2万,¥0.002629,¥470.47万,10.24亿,+9.72%
LEDU-Education Ecosystem,¥268.98万,¥0.012350,¥0.3046,2.18亿*,-37.31%
TIC-Thingschain,¥267.64万,¥0.000234,¥33485.64,114.45亿,-12.31%
IONC-IONChain,¥265.42万,¥0.013271,¥58.81万,2亿,+4.66%
ORS-本源币,¥264.76万,¥0.022063,¥373.4万,1.2亿*,-2.19%
EDS-赞我股,¥261.54万,¥0.000262,¥102.81万,100亿*,+17.03%
REF-引荐令牌,¥261.48万,¥3.5701,¥17.85万,73.24万,+9.37%
CHL-Challenge DAPP,¥258.54万,¥0.000958,--,27亿*,+22.45%
RATING-DPRating,¥254.16万,¥0.001155,¥43.35万,22亿*,+5.12%
ALI-阿里币,¥252.95万,¥0.002017,¥20.18万,12.54亿*,-0.32%
ECOM-Ecom Chain,¥249.83万,¥0.000714,--,35亿,+15.96%
GENE-Parkgene,¥248.34万,¥0.008425,¥13.57万,2.95亿,+33.44%
PGD-火眼币,¥247.74万,¥0.045206,--,"5,480.26万*",+10.71%
TOP-TOP.ONE COIN,¥242.06万,¥0.001780,¥91331.05,13.6亿*,+1.50%
TIX-彩币,¥240.79万,¥0.00003648,¥30388.92,660亿,+5.07%
EJOY-ETHER JOY,¥238.67万,¥0.000216,¥26478.57,110.25亿,-3.63%
FREC-弗雷尔币,¥235.23万,¥0.004705,¥27.75万,5亿,+43.93%
IQN-IQeon,¥234.38万,¥0.8633,¥3340.46,271.5万,-1.69%
FISH-鱼币,¥221.45万,¥0.002768,¥35.8万,8亿*,+1.21%
STC-星链,¥221.35万,¥0.004427,¥148.61万,5亿,+2.06%
