币种,流通市值,全球指数,24H成交额,流通数量,24H涨幅
PLBT-Polybius,"¥2,938.22万",¥7.4019,¥12353.96,396.96万,+20.43%
PST-Primas,"¥2,937.43万",¥0.5575,¥517.86万,"5,269.26万",-18.52%
B2B-B2BX,"¥2,934.92万",¥1.7799,¥11.7万,"1,648.96万",+3.49%
MSP-Mothership,"¥2,912.04万",¥0.2080,¥95480.03,1.4亿,+0.97%
LA-LAToken,"¥2,780.23万",¥0.3431,¥2344.06,"8,103.73万",+5.84%
UTNP-Universa,"¥2,776.02万",¥0.015016,¥81.1166,18.49亿,+13.37%
EVX-Everex,"¥2,764.22万",¥1.3769,¥121.88万,"2,007.5万",+6.56%
FUEL-EtherParty,"¥2,720.39万",¥0.051471,¥127.54万,5.29亿,+6.38%
NMR-Numeraire,"¥2,695.76万",¥19.9785,¥84858.84,134.93万,+8.69%
YOYOW-YOYOW,"¥2,680.17万",¥0.089339,¥233.53万,3亿,+3.23%
COB-Cobinhood,"¥2,649.6万",¥0.067878,¥10.07万,3.9亿,+20.00%
AST-AirSwap,"¥2,648.49万",¥0.1766,¥199.22万,1.5亿,+9.18%
VIB-Viberate,"¥2,635.49万",¥0.1472,¥459.37万,1.79亿,+6.40%
APPC-AppCoins,"¥2,613.95万",¥0.2613,¥216.06万,1亿,+3.96%
XAUR-Xaurum,"¥2,596.96万",¥0.2717,¥92726.69,"9,557.97万",+6.09%
XRL-Rialto,"¥2,590.88万",¥0.3153,¥1820.98,"8,217.56万",+7.90%
TAU-Lamden,"¥2,590.7万",¥0.1822,¥20万,1.42亿,-1.48%
MTH-Monetha,"¥2,583.3万",¥0.1184,¥91.85万,2.18亿,+5.77%
TFD-TE-FOOD,"¥2,562.82万",¥0.050640,¥54628.04,5.06亿,+3.06%
GNX-Genaro Network,"¥2,547.96万",¥0.1054,"¥1,487.22万",2.42亿*,-4.24%
MLN-Melon,"¥2,514.34万",¥32.3081,¥22361.51,77.82万,-0.86%
ENU-牛油果,"¥2,488.06万",¥0.062201,¥38847.63,4亿*,+1.82%
CHSB-SwissBorg,"¥2,475.09万",¥0.042984,¥26.56万,5.76亿,+8.58%
SPANK-SpankChain,"¥2,440.44万",¥0.081336,¥67875.87,3亿,+2.42%
CPC-物信链,"¥2,384.69万",¥0.082582,¥38.59万,2.89亿,+14.87%
NANJ-NANJCOIN,"¥2,384.41万",¥0.001231,¥19054.83,193.62亿,+0.82%
EVR-Everus,"¥2,342.84万",¥0.046217,¥27468.33,5.07亿,+3.31%
HAV-Havven,"¥2,337.45万",¥0.3486,¥6251.78,"6,706.08万",-6.64%
SWTH-Switcheo,"¥2,308.95万",¥0.024541,¥14500.73,9.41亿,+1.99%
UIP-未来版权,"¥2,235.63万",¥0.016684,¥105.01万,13.4亿,-8.07%
LUN-Lunyr,"¥2,213.86万",¥9.6345,¥43.46万,229.79万,+4.78%
PEPECASH-Pepe Cash,"¥2,187.53万",¥0.031166,--,7.02亿,-0.24%
ARN-Aeron,"¥2,178.82万",¥1.6760,¥430.13万,"1,300万",+5.45%
ADT-AdToken,"¥2,103.01万",¥0.035050,¥95.94万,6亿,+2.30%
INK-墨链,"¥2,059.19万",¥0.041184,¥235.47万,5亿,-26.41%
ZPT-Zeepin,"¥1,950.85万",¥0.039017,¥37.21万,5亿,-8.14%
KICK-KickCoin,"¥1,938.79万",¥0.035736,¥29.48万,5.43亿,+6.64%
DBC-深脑链,"¥1,936.66万",¥0.012911,¥490.38万,15亿,+0.22%
XDCE-XinFin Network,"¥1,931.54万",¥0.004978,¥27.53万,38.8亿,+10.01%
DLT-Agrello,"¥1,925.16万",¥0.2239,¥80.82万,"8,597.89万",+8.95%
CAG-Change,"¥1,919.26万",¥0.5172,¥13.62万,"3,711万",+4.79%
BEZ-Bezop,"¥1,829.25万",¥0.3625,¥565.36万,"5,046.89万",-3.04%
AURA-Aurora DAO,"¥1,805.44万",¥0.1183,¥20032.68,1.53亿,+5.72%
1ST-第一滴血,"¥1,803.33万",¥0.2108,¥57.48万,"8,555.84万",-2.49%
DICE-Etheroll,"¥1,799.72万",¥2.5704,¥74758.05,700.16万,+7.06%
IXT-iXledger,"¥1,778.64万",¥0.4971,¥10.38万,"3,577.88万",+6.26%
SENT-Sentinel,"¥1,769.44万",¥0.008847,¥25.24万,20亿,+4.58%
SEN-Consensus,"¥1,765.11万",¥0.010993,¥16.51万,16.06亿,-2.47%
DADI-DADI,"¥1,756.78万",¥0.2349,¥89.52万,"7,479.56万",+8.03%
DOV-Dovu,"¥1,736.85万",¥0.043448,¥70888.27,4亿,+131.03%
SOAR-飙升币,"¥1,705.92万",¥0.015791,¥22077.47,10.8亿,-10.31%
LND-Lendingblock,"¥1,677.19万",¥0.027754,¥81.5万,6.04亿,+13.62%
BMC-Blackmoon Crypto,"¥1,662.92万",¥0.7837,¥209.75万,"2,121.99万*",+6.22%
ZCO-Zebi,"¥1,625.48万",¥0.032510,¥110.02万,5亿,+7.29%
BCPT-Blockmason,"¥1,610.27万",¥0.2195,¥51.96万,"7,334.85万",+5.83%
PCL-Peculium,"¥1,592.99万",¥0.008107,¥56.38万,19.65亿,+7.57%
ELEC-Electrify.Asia,"¥1,509.44万",¥0.031755,¥23.96万,4.75亿,+3.00%
DIM-DIMCOIN,"¥1,509.36万",¥0.007179,¥102.62万,21.02亿,+0.34%
PRO-Propy,"¥1,503.47万",¥0.7712,¥119.52万,"1,949.51万",-0.44%
TAAS-TaaS,"¥1,487.65万",¥1.8262,¥1710.49,814.6万,-0.96%
OAX-OAX,"¥1,478.12万",¥0.5910,¥432.55万,"2,500.93万",+12.41%
BPT-Blockport,"¥1,476.8万",¥0.2793,¥61.56万,"5,287.09万",-4.37%
YOC-优币,"¥1,447.36万",¥0.044278,¥11.97万,3.27亿,+3.99%
UP-UpToken,"¥1,408.67万",¥0.096130,¥20708.76,1.47亿,+9.63%
BLT-宝兰,"¥1,398.77万",¥0.2923,¥54.44万,"4,786.17万",+6.90%
NIM-网络币,"¥1,366.23万",¥0.004983,¥24.18万,27.42亿*,+6.49%
CXO-CargoX,"¥1,355.5万",¥0.1050,¥19.77万,1.29亿,+0.81%
INCNT-Incent,"¥1,345.49万",¥0.2924,¥8978.75,"4,601.66万",+0.55%
HST-Decision Token,"¥1,295.12万",¥0.4044,¥19.16万,"3,202.6万",-4.71%
DPY-天算,"¥1,277.16万",¥0.2456,¥78.3万,"5,200万",-1.54%
REM-REMME,"¥1,268.61万",¥0.020651,¥39.81万,6.14亿,+0.36%
AMP-Synereo,"¥1,235.66万",¥0.1227,¥65399.10,1.01亿,+7.74%
DBET-DecentBet,"¥1,208.84万",¥0.072080,¥3211.28,1.68亿,-16.96%
NCT-PolySwarm,"¥1,190.49万",¥0.007698,¥35.35万,15.46亿,+3.31%
AXPR-aXpire,"¥1,185.98万",¥0.043205,¥160.39万,2.74亿,+6.88%
SNET-Snetwork,"¥1,167.54万",¥0.090571,¥15.56万,1.29亿*,+11.35%
CVN-CVCoin,"¥1,144.24万",¥0.9242,¥15.9万,"1,238.09万",-33.00%
HBT-Hubii Network,"¥1,125.67万",¥0.8328,¥32139.08,"1,351.64万",+21.68%
HMQ-Humaniq,"¥1,099.15万",¥0.059322,¥34万,1.85亿,+8.07%
TOPC-拓扑链,"¥1,088.47万",¥0.036282,¥291.46万,3亿*,+4.54%
HKN-Hacken,"¥1,081.92万",¥2.0187,¥94470.82,535.95万,+0.58%
PAYX-Paypex,"¥1,069.52万",¥0.1563,¥10.11万,"6,842.88万",+7.31%
CV-carVertical,"¥1,061.63万",¥0.001874,¥20062.17,56.67亿,+3.93%
UCT-优物链,"¥1,046.07万",¥0.033209,¥47.9万,3.15亿*,+4.15%
SNC-SunContract,"¥1,022.1万",¥0.083295,¥141.84万,1.23亿,+5.87%
CEX-CEXCOIN,"¥1,016.53万",¥0.3388,--,"3,000万*",+1.61%
BANCA-Banca,"¥1,012.79万",¥0.000565,¥22.01万,179.26亿,+8.05%
OCT-欧链,¥999.98万,¥0.3333,¥13.95万,"3,000万",+2.45%
CAPP-Cappasity,¥996.23万,¥0.019820,¥52.15万,5.03亿,+8.33%
SWT-Swarm City,¥985.89万,¥1.1817,¥12.43万,834.28万,+18.16%
TFL-True Flip,¥976.55万,¥1.5632,¥29.34万,624.73万,+5.08%
FLIXX-Flixxo,¥973.69万,¥0.1216,¥5704.95,"8,008.3万",+9.73%
DTB-Databits,¥973.11万,¥0.4278,¥15065.28,"2,274.78万",+2.33%
AMLT-AMLT Token,¥972.22万,¥0.1098,¥2419.18,"8,856.49万",+20.62%
SXUT-SXUT,¥966.51万,¥0.3940,¥20.28万,"2,452.96万",-7.90%
EXRN-EXRNchain,¥941.33万,¥0.000102,¥43.91万,925亿,-0.54%
NBAI-智云链,¥935.3万,¥0.008044,¥53997.58,11.63亿,+0.19%
ERO-Eroscoin,¥930.81万,¥0.049844,¥3684.74,1.87亿,-2.53%
CMCT-Crowd Machine,¥926.33万,¥0.019702,¥24493.73,4.7亿,-3.66%
BOT-菩提,¥907.77万,¥0.2269,¥390万,"4,000万",-2.87%
NTK-Neurotoken,¥901.1万,¥0.1142,¥31.66万,"7,890.66万",+3.40%
MYST-密链,¥878.62万,¥0.3737,¥711.39,"2,350.93万",+40.05%
ZSC-Zeusshield,¥874.16万,¥0.007580,¥15.45万,11.53亿,+2.58%
COVAL-Circuits of V...,¥869.51万,¥0.008695,¥72705.16,10亿,-0.32%
GUP-Matchpool,¥861.06万,¥0.1148,¥15.25万,"7,500万",+10.45%
TIME-Chronobank,¥853.51万,¥12.0194,¥38.7万,71.01万,+3.53%
IDH-indaHash,¥851.92万,¥0.021301,¥89.52万,4亿,-2.08%
ORME-Ormeus Coin,¥846.03万,¥0.4968,¥231.64万,"1,702.93万",+4.00%
BBN-榕树网络,¥791.62万,¥0.016774,¥21.99万,4.72亿,+9.30%
SHIP-ShipChain,¥791.25万,¥0.035569,¥1139.29,2.22亿,-0.27%
PTOY-Patientory,¥786.45万,¥0.1124,¥13649.08,"7,000万",+7.33%
DNA-EncrypGen,¥782.78万,¥0.1168,¥13.34万,"6,703万",+11.78%
ALIS-ALIS,¥767.57万,¥0.1972,¥4386.64,"3,892.69万",+9.81%
BQT-BQT,¥757.66万,¥0.029367,¥17.08万,2.58亿*,+9.75%
DRT-DomRaider,¥737.07万,¥0.012461,¥21.36万,5.92亿,-18.13%
LATX-LatiumX,¥736.09万,¥0.070502,¥106.52万,1.04亿,+3.65%
QWARK-Qwark,¥719.39万,¥0.1079,¥7207.96,"6,667.29万",+7.15%
MITX-Morpheus Labs,¥716.85万,¥0.034870,¥46750.99,2.06亿,-0.88%
EXY-Experty,¥713.95万,¥0.2636,¥99100.93,"2,708.84万",-3.72%
TRST-WeTrust,¥703.24万,¥0.076317,¥98.11万,"9,214.75万",-0.42%
AVT-Aventus,¥702.39万,¥1.1706,¥62164.83,600万,+2.52%
XNK-Ink Protocol,¥697.65万,¥0.035971,¥24.98万,1.94亿,+2.95%
ZAP-ZAP,¥694.43万,¥0.053943,¥15494.01,1.29亿,+10.71%
ICOS-ICOS,¥690.5万,¥13.9543,¥22.0630,49.48万,-11.67%
UGC-UgChain,¥683.97万,¥0.013679,¥67.91万,5亿,-0.67%
OPT-Opus,¥682.12万,¥0.048695,¥11383.18,1.4亿,+5.19%
AID-AidCoin,¥675.23万,¥0.1539,¥93011.70,"4,387.25万",-0.95%
NIO-Autonio,¥660.98万,¥0.079474,¥84.01万,"8,317.01万",-0.15%
CPAY-Cryptopay,¥657.32万,¥0.096199,¥6284.87,"6,832.94万",+4.14%
TSL-Energo,¥655.56万,¥0.011263,¥20.28万,5.82亿*,+42.06%
