币种,流通市值,全球指数,24H成交额,流通数量,24H涨幅
MGE-Merge,--,¥0.9145,¥16.3万,--*,-0.15%
WEX-威克斯金币,--,--,--,27.23万*,0%
EDU-教育链,--,--,--,--*,0%
SANC-SanChain,--,--,--,--*,0%
BTW-比特世界,--,--,--,--*,0%
HGT-HelloGold,--,--,--,2.63亿,0%
AMM-MicroMoney,--,¥0.053472,¥55941.64,--,+8.34%
PBT-Primalbase,--,--,--,1250,0%
LNC-Blocklancer,--,--,--,1.2亿,0%
QLB-区链币,--,--,--,--*,0%
TGC-Tigercoin,--,--,--,"4,353.68万",0%
CAT-BitClave,--,--,--,--,0%
GLC-全球币,--,--,--,"6,517.1万",0%
IIC-智投币,--,¥0.000993,¥16.45万,--*,-2.97%
DRPU-DRP Utility,--,--,--,353.04万,0%
SLM-Slimcoin,--,--,--,"1,493.74万",0%
NETKO-Netko,--,--,--,679.2万,0%
JEW-Shekel,--,--,--,1.27亿*,0%
GET-GUTS Tickets,--,--,--,"1,038.44万*",0%
VGC-拉斯维加斯币,--,--,--,--,0%
RKT-Rock,--,--,--,4.8亿,0%
GREV2-Greencoin,--,--,--,31.14亿*,0%
LKK-Lykke,--,--,--,3.17亿*,0%
NTWK-Network Token,--,--,--,"1,583.07万",0%
BITZ-Bitz,--,--,--,199.09万,0%
300-300 Token,--,--,--,300,0%
ITI-iTicoin,--,--,--,32000*,0%
ADZ-Adzcoin,--,--,--,"4,509.08万",0%
CFC-咖啡币,--,--,--,1.49亿*,0%
EAG-EA Coin,--,--,--,--,0%
SPACE-SpaceCoin,--,--,--,"2,451.79万",0%
KLC-至高币,--,--,--,1.96亿,0%
VLTC-Vault Coin,--,--,--,"3,038.55万",0%
VSL-vSlice,--,--,--,"3,339.05万",0%
PROUD-PROUD Money,--,¥0.023988,¥10.6507,--,-36.15%
YASH-YashCoin,--,--,--,"1,000.03万*",0%
MONETA-Moneta,--,--,--,--,0%
WIC-Wi Coin,--,--,--,--,0%
FLUZ-Fluz Fluz,--,--,--,2.05亿,0%
BENJI-BenjiRolls,--,--,--,"2,027.61万",0%
CWXT-CryptoWorldX Token,--,--,--,"5,963.02万*",0%
NSR-NuShares,--,--,--,27.78亿,0%
LOG-木币,--,--,--,803.52万,0%
SPD-Stipend,--,--,--,553.11万,0%
NOBL-NobleCoin,--,--,--,23.5亿,0%
GU-谷腾,--,--,--,71亿*,0%
BITE-比特以太,--,¥0.7103,¥13954.10,--*,-4.02%
EDU-教育链,--,--,--,--*,0%
DASHS-Dashs,--,--,--,--,0%
PXI-Prime-XI,--,--,--,"2,193.18万",0%
ZOI-Zoin,--,--,--,"1,854.45万",0%
BSN-Bastonet,--,--,--,--*,0%
DBG-DBG,--,--,--,--*,0%
BOST-增长币,--,--,--,"1,185.55万",0%
ROOFS-ROOFS,--,--,--,1.3亿*,0%
FLY-Flycoin,--,--,--,21.08万*,0%
KB3-B3Coin,--,--,--,7.38亿,0%
JC-耶稣币,--,--,--,179.8亿,0%
PUREX-PURE,--,--,--,"1,563.53万",0%
BRIA-BriaCoin,--,--,--,74.34万*,0%
RMC-Russian Mining Coin,--,--,--,1507*,0%
UNRC-UNRC,--,--,--,--*,0%
BSM-Bitsum,--,--,--,12.3亿*,0%
MTNC-Masternodecoin,--,--,--,"5,378.69万*",0%
CANDY-Candy Token,--,¥0.000112,¥1766.98,--,+3.13%
CHAN-ChanCoin,--,--,--,"1,088.8万",0%
REV-Revenu,--,--,--,119.55万,0%
TIE-Ties.DB,--,--,--,"4,076.17万*",0%
DAY-Chronologic,--,--,--,--,0%
STRC-StarCredits,--,--,--,450万,0%
HDLB-HODL Bucks,--,--,--,--,0%
UKG-Unikoin Gold,--,--,--,1.41亿,0%
PHS-Philosopher S...,--,--,--,601.43万*,0%
MZC-民族币,--,--,--,10.55亿,0%
PZM-PRIZM,--,--,--,"6,941.4万*",0%
ASC-斯科币,--,--,--,--,0%
ITZ-Interzone,--,--,--,265.2万,0%
UNIC-UniCoin,--,--,--,298.03万,0%
CSC-卡西诺币,--,--,--,359.73亿*,0%
BOPO-播酷云,--,¥0.011769,¥62.2568,--*,+54.55%
FBTC-快速比特币,--,¥2.0831,¥23.84万,--*,+1.13%
ASTRO-Astro,--,--,--,331.38万,0%
AMM-MicroMoney,--,¥0.053624,¥55941.64,--,+8.65%
IDT-InvestDigital,--,¥0.012759,¥66.27万,--,-0.27%
FUNC-FUNCoin,--,--,--,584.86万,0%
RICHX-财富币,--,¥0.005214,¥48.4112,--,-33.29%
BITS-飞速币,--,--,--,388.46万,0%
MBC-乐链,--,--,--,--*,0%
MAVRO-Mavro,--,--,--,--,0%
ART-Maecenas,--,--,--,"3,928.72万",0%
LTB-莱特银,--,--,--,98.92万,0%
IOT-IoTcoin,--,¥1.7134,¥145.58万,--,+6.86%
ZYD-Zayedcoin,--,--,--,624.38万,0%
GYC-公益币,--,--,--,--,0%
ZZC-ZoZoCoin,--,--,--,194.65万,0%
KRONE-Kronecoin,--,--,--,"1,086万",0%
CCC-摩羯币,--,¥0.1434,¥528.22万,--*,+2.06%
BSC-BowsCoin,--,--,--,555.01万,0%
SHE-闪链,--,¥0.007574,¥542.5万,--*,+11.53%
GYL-共赢链,--,--,--,--*,0%
GOD-比特上帝,--,¥14.8252,¥30.74万,--*,+29.31%
SONG-SongCoin,--,--,--,"3,256.53万",0%
STA-Starta,--,--,--,521.51万,0%
ELITE-Ethereum Lite,--,¥0.2771,¥61.8899,--,-37.01%
ZEPH-Zephyr,--,--,--,2.84亿,0%
TRUST-TrustPlus,--,--,--,"3,208.66万*",0%
ORI-Origami,--,--,--,422.59万,0%
YTC-群币股,--,--,--,356.32万*,0%
FAP-FAPcoin,--,--,--,--,0%
GLA-Gladius Token,--,--,--,"1,446.13万",0%
EGCC-Engine,--,¥0.001676,¥40万,--*,-0.19%
PXI-Prime-XI,--,--,--,"2,193.18万",0%
ABJ-Abjcoin,--,--,--,823.31万,0%
CCN-Cannacoin,--,--,--,470.23万,0%
BTG-比基币,--,--,--,61349,0%
SONO-SONO,--,¥0.1607,¥101.45,--,+7.42%
HCC-Happy Creator,--,--,--,--*,0%
VISIO-Visio,--,--,--,"5,129.82万*",0%
CLUB-ClubCoin,--,¥2.2825,¥73690.20,--*,-0.08%
BYC-Bytecent,--,--,--,236.34万,0%
REV-Revenu,--,--,--,119.55万,0%
MOIN-Moin,--,--,--,803.25万*,0%
ICOB-ICOBID,--,--,--,1.07亿*,0%
ARB-ARbit,--,--,--,"1,014.97万",0%
AV-AvatarCoin,--,--,--,--*,0%
MARX-马克思币,--,¥0.002741,¥3.7418,--,+5.11%
MNM-Mineum,--,--,--,943.64万,0%
PPP-PayPie,--,--,--,"8,250万",0%
VGC-拉斯维加斯币,--,--,--,--,0%
IDT-InvestDigital,--,¥0.012759,¥66.36万,--,-0.25%
MBI-Monster Byte,--,--,--,"1,682.27万",0%
SKR-樱花币,--,¥0.003045,¥23.0675,--,+62.86%
EGAS-Ethgas,--,--,--,"1,015.75万*",0%
Q2C-量子币,--,--,--,3.36亿,0%
VLC-价值链,--,¥0.042534,--,--,+4.80%
KARMA-大象币,--,--,--,--,0%
SCOT-Scotcoin,--,--,--,10亿,0%
MONETA-Moneta,--,--,--,--,0%
GOD-比特上帝,--,¥14.8252,¥26.96万,--*,+13.43%
NDAO-NeuroDAO,--,--,--,17.35万*,0%
BDL-Bitdeal,--,--,--,1.76亿,0%
IPFS-星际文件系统,--,¥21.2046,¥50800.69,--*,-1.16%
ECH-Etherecash,--,--,--,--,0%
FVS-自由链,--,--,--,--*,0%
C2-C2币,--,--,--,"7,824.6万*",0%
MAG-麦奇,--,¥0.004375,¥61187.61,--,+6.35%
UNRC-UNRC,--,--,--,--*,0%
ETG-Ethereum Gold,--,--,--,"1,200万",0%
XES-Proxeus,--,--,--,2.03亿,0%
DBTC-Debitcoin,--,--,--,"1,799.96万",0%
TAGR-TAGRcoin,--,--,--,"3,866.96万*",0%
CDX-Commodity Ad Network,--,--,--,"3,255万",0%
KNC-KingN Coin,--,--,--,2009*,0%
BQ-bitqy,--,--,--,31.13亿,0%
SMART-SmartBillions,--,--,--,703.93万*,0%
HDLB-HODL Bucks,--,--,--,--,0%
CIG-CIorigin,--,--,--,"4,800万*",0%
BLU-BlueCoin,--,--,--,5.75亿,0%
BLX-Blockchain Index,--,--,--,--*,0%
GCC-GuccioneCoin,--,--,--,"2,028.55万",0%
UFO-UFO Coin,--,--,--,35.73亿,0%
LIFE-LIFE,--,--,--,234.42亿,0%
XCXT-CoinonatX,--,--,--,"1,953.96万",0%
NTWK-Network Token,--,--,--,"1,583.07万",0%
MBC-乐链,--,--,--,--*,0%
VIDZ-PureVidz,--,--,--,1.25亿*,0%
ERY-Eryllium,--,--,--,"1,365.79万",0%
COAL-BitCoal,--,--,--,450万,0%
BTW-比特世界,--,--,--,--*,0%
MAG-Magnet,--,--,--,"3,686.43万",0%
POS-PoSToken,--,--,--,57.9万,0%
LEV-Leverj,--,--,--,1.18亿,0%
CWXT-CryptoWorldX Token,--,--,--,"5,963.02万*",0%
ZEPH-Zephyr,--,--,--,2.84亿,0%
FAL-方格币,--,--,--,19.68万,0%
HODL-HOdlcoin,--,--,--,2.33亿,0%
MOTO-Motocoin,--,--,--,"1,964.27万",0%
STV-Sativacoin,--,--,--,709.68万,0%
FOOT-Footy Cash,--,--,--,460.21万,0%
VIPS-Vipstar Coin,--,--,--,339.29亿*,0%
XVS-Vsync,--,--,--,1.07亿,0%
JC-耶稣币,--,--,--,179.8亿,0%
TRIG-Triggers,--,--,--,"3,210.56万",0%
MRJA-GanjaCoin,--,--,--,"2,228.32万*",0%
BNX-BnrtxCoin,--,--,--,"3,477.45万",0%
PULSE-Pulse,--,--,--,"1,429.9万",0%
KURT-Kurrent,--,--,--,"6,136.48万",0%
CMP-Compcoin,--,--,--,433.36万,0%
CMS-COMSA-XEM,--,--,--,--,0%
TGC-Tigercoin,--,--,--,"4,353.68万",0%
PZM-PRIZM,--,--,--,"6,941.4万*",0%
RYZ-ANRYZE,--,--,--,--,0%
FAIR-公平币,--,--,--,"5,319.38万*",0%
BCW-比特奇迹,--,¥0.1154,¥17580.27,--*,+4.11%
BBR-布尔币,--,--,--,"1,244.12万",0%
WA-WA Space,--,--,--,--,0%
MAGN-Magnetcoin,--,¥0.092987,¥5335.96,--,+10.64%
CXT-Coinonat,--,--,--,862.32万,0%
ADZ-Adzcoin,--,--,--,"4,509.08万",0%
IOT-IoTcoin,--,¥1.7169,¥147.19万,--,+7.16%
IGNIS-火链,--,¥0.099232,"¥4,618.76万",--,+1.89%
PLNC-PLNcoin,--,--,--,"1,708.96万",0%
DRXNE-DROXNE,--,--,--,"8,173.52万*",0%
8BIT-8Bit,--,--,--,146.78万*,0%
FRC-运输币,--,--,--,"3,170.43万",0%
SANC-SanChain,--,--,--,--*,0%
XPD-石油币,--,--,--,"6,399.33万",0%
NOBL-NobleCoin,--,--,--,23.5亿,0%
FAP-FAPcoin,--,--,--,--,0%
XVC-Vcash,--,--,--,"1,545.07万",0%
XID-Sphre AIR,--,¥0.3128,¥2994.74,--,+36.13%
NRO-Neuro,--,--,--,"5,940.13万",0%
TKR-CryptoInsight,--,--,--,"1,252.97万",0%
BITUSD-bitUSD,--,--,--,674.28万,0%
SMS-SMS,--,--,--,10.47万,0%
ACC-Accelerator Network,--,--,--,63.99万,0%
MCR-Macro,--,--,--,--,0%
JIN-Jin Coin,--,--,--,996.04万,0%
EVIL-Evil Coin,--,--,--,"2,102.04万",0%
GRID-GRID+,--,--,--,"3,923.65万",0%
RICHX-财富币,--,¥0.005234,¥48.5947,--,-33.04%
SPACE-SpaceCoin,--,--,--,"2,451.79万",0%
SPK-Sparks,--,¥0.049567,¥8913.67,--,+34.65%
FC2-FuelCoin,--,--,--,1.02亿,0%
BAS-BitAsean,--,--,--,500万,0%
PFR-Payfair,--,--,--,"8,899.97万",0%
LUNA-Luna Coin,--,--,--,170.64万,0%
AGLC-AgrolifeCoin,--,--,--,2.1亿*,0%
FRN-法琅,--,--,--,386.71万,0%
NANOX-Project-X,--,¥13.71万,¥1043.82,--*,-8.24%
STA-Starta,--,--,--,521.51万,0%
FLY-Flycoin,--,--,--,21.08万*,0%
BUB-Bubble,--,--,--,--*,0%
COR-CORION,--,¥0.2880,¥1546.28,--,+10.96%
CLR-ClearCoin,--,--,--,5.28亿,0%
GCS-GCS游戏公链,--,¥0.004100,--,--,+61.12%
LNC-Blocklancer,--,--,--,1.2亿,0%
ATMC-ATMCoin,--,--,--,--*,0%
EVN-Envion,--,--,--,1.11亿,0%
AXF-AxFunds,--,--,--,--,0%
FID-币飞,--,--,--,--*,0%
AMIS-AMIS,--,--,--,--*,0%
BSC-BowsCoin,--,--,--,555.01万,0%
ZOI-Zoin,--,--,--,"1,854.45万",0%
SGR-Sugar Exchange,--,--,--,"2,200.83万",0%
DRG-Dragon Coins,--,¥0.3142,¥62646.45,--,+1.54%
CARBON-Carboncoin,--,--,--,153.92亿,0%
FIRE-火币,--,--,--,98412*,0%
FIL-Filecoin,--,¥14.9893,--,--,-11.97%
MAC-Machinecoin,--,--,--,"2,143.53万",0%
SLOTH-SLOTH,--,¥0.00000305,¥30.7484,--,-6.38%
FYN-FundYourselfN...,--,--,--,87.75万,0%
SUP-Superior Coin,--,¥0.000678,¥65.5528,--,+1.83%
RIC-黎曼币,--,--,--,"4,434.44万",0%
ZYD-Zayedcoin,--,--,--,624.38万,0%
BOST-增长币,--,--,--,"1,185.55万",0%
GCC-Global Cryptocurrency,--,--,--,12.1亿*,0%
PBT-Primalbase,--,--,--,1250,0%
QUBE-Qube,--,¥0.004344,¥296.09,--,-34.36%
WBB-Wild Beast Block,--,--,--,18.19万,0%
HCC-Happy Creator,--,--,--,--*,0%
AV-AvatarCoin,--,--,--,--*,0%
EGAS-Ethgas,--,--,--,"1,015.75万*",0%
BDL-Bitdeal,--,--,--,1.76亿,0%
XES-Proxeus,--,--,--,2.03亿,0%
CIG-CIorigin,--,--,--,"4,800万*",0%
MBC-乐链,--,--,--,--*,0%
CWXT-CryptoWorldX Token,--,--,--,"5,963.02万*",0%
XVS-Vsync,--,--,--,1.07亿,0%
CMS-COMSA-XEM,--,--,--,--,0%
MAGN-Magnetcoin,--,¥0.092987,¥5335.96,--,+10.64%
FRC-运输币,--,--,--,"3,170.43万",0%
ARC-艾伦币,--,--,--,"2,000万*",0%
FLAP-象素鸟币,--,--,--,"1,159.31亿",0%
RCN-Rcoin,--,--,--,--,0%
HDG-Hedge,--,--,--,370.97万,0%
PRES-特朗普总统,--,¥0.017224,¥16.2603,--,+3.62%
BUMBA-BumbaCoin,--,--,--,"2,333.57万",0%
AMM-MicroMoney,--,¥0.057279,¥56178.33,--,+8.81%
YASH-YashCoin,--,--,--,"1,000.03万*",0%
GBG-Golos Gold,--,¥0.056954,¥3667.15,--*,-1.39%
PLX-PlexCoin,--,--,--,--,0%
ATC-Arbitracoin,--,¥0.004796,¥22.9367,--*,-21.05%
EREAL-eREAL,--,--,--,"7,471.18万",0%
SND-Sand Coin,--,--,--,--,0%
QORA-简约币,--,--,--,--*,0%
ACP-AnarchistsPrime,--,--,--,439.49万,0%
CDC-消费链,--,¥0.000590,¥26.27万,--*,+9.26%
DAS-DAS,--,--,--,284.74万,0%
OEX-OEX,--,¥0.069353,--,--*,-38.40%
ESP-Espers,--,--,--,227.37亿,0%
ZZC-ZoZoCoin,--,--,--,194.65万,0%
BLAZR-BlazerCoin,--,--,--,--,0%
CRX-Chronos,--,--,--,"7,373万",0%
XRC-Rawcoin,--,--,--,70.49万,0%
MRS-星际币,--,--,--,"2,827.91万",0%
GEERT-GeertCoin,--,--,--,509.12万,0%
DSH-Dashcoin,--,--,--,"1,757.5万",0%
SJCX-Storjcoin X,--,¥0.7075,--,--,+0.10%
$$$-Money,--,--,--,"4,588.72万",0%
DT-龙币,--,¥5.2475,¥252.63万,--,+0.68%
ACES-Aces,--,--,--,--*,0%
PHS-Philosopher S...,--,--,--,601.43万*,0%
300-300 Token,--,--,--,300,0%
OCL-Oceanlab,--,--,--,"4,650万",0%
WAND-WandX,--,--,--,"1,224.41万",0%
AIB-智链,--,--,--,"3,223.43万",0%
UBC-小比特币,--,--,--,--*,0%
MAY-Theresa May Coin,--,--,--,"8,952.04万",0%
SIGT-Signatum,--,--,--,1.08亿*,0%
GAP-Gapcoin,--,--,--,"1,420.28万",0%
NETKO-Netko,--,--,--,679.2万,0%
BLRY-BillaryCoin,--,--,--,899.42万,0%
NET-网络币,--,--,--,7.87亿,0%
SMART-SmartBillions,--,--,--,703.93万*,0%
YTN-YENTEN,--,--,--,--,0%
XCRE-Creatio,--,--,--,"2,052.05万*",0%
RMC-Russian Mining Coin,--,--,--,1507*,0%
INDI-Indicoin,--,¥0.029380,¥276.84,--,+8.30%
SENSE-SENSE,--,--,--,2.5亿,0%
GIM-Gimli,--,--,--,"8,000万*",0%
BTCA-Bitair,--,--,--,7亿,0%
MSD-MSD,--,¥0.030336,¥27.07万,--*,+2.38%
LEV-Leverj,--,--,--,1.18亿,0%
SOON-SoonCoin,--,--,--,"1,246.26万*",0%
BITUSD-bitUSD,--,--,--,674.28万,0%
SPACE-SpaceCoin,--,--,--,"2,451.79万",0%
NANOX-Project-X,--,¥13.67万,¥1043.82,--*,-8.45%
ATMC-ATMCoin,--,--,--,--*,0%
DRG-Dragon Coins,--,¥0.3143,¥62646.45,--,+1.48%
RIC-黎曼币,--,--,--,"4,434.44万",0%
AV-AvatarCoin,--,--,--,--*,0%
CMS-COMSA-XEM,--,--,--,--,0%
BUMBA-BumbaCoin,--,--,--,"2,333.57万",0%
QORA-简约币,--,--,--,--*,0%
CRX-Chronos,--,--,--,"7,373万",0%
ACES-Aces,--,--,--,--*,0%
SIGT-Signatum,--,--,--,1.08亿*,0%
ICE-iDice,--,--,--,157.1万,0%
EXN-ExchangeN,--,--,--,510万,0%
IPFS-星际文件系统,--,¥21.2046,¥50800.69,--*,-1.16%
SANC-SanChain,--,--,--,--*,0%
GYL-共赢链,--,--,--,--*,0%
DDF-Digital Developers Fund,--,--,--,511.83万,0%
SJW-SJW,--,--,--,--,0%
ARGUS-Argus,--,--,--,114.83万,0%
SIGMA-西格玛币,--,¥0.017037,¥33053.17,--*,+4.67%
CRTM-Corethum,--,--,--,250万*,0%
SLG-Sterlingcoin,--,--,--,424.1万,0%
TAGR-TAGRcoin,--,--,--,"3,866.96万*",0%
CREVA-CrevaCoin,--,--,--,"3,639.07万",0%
TGT-Target Coin,--,--,--,9.52亿,0%
BIOB-BioBar,--,--,--,88.58万*,0%
BITOK-Bitok,--,--,--,--*,0%
APC-艾尔发币,--,--,--,--,0%
BRIA-BriaCoin,--,--,--,74.34万*,0%
ECC-E-Currency Coin,--,--,--,250亿*,0%
OPAL-Opal,--,--,--,"1,514.95万*",0%
PXI-Prime-XI,--,--,--,"2,193.18万",0%
HODL-HOdlcoin,--,--,--,2.33亿,0%
BRAIN-Braincoin,--,--,--,"1,009.44万*",0%
ELITE-Ethereum Lite,--,¥0.2774,¥62.1239,--,-36.78%
VSX-Vsync,--,--,--,1.61亿,0%
STARS-StarCash Network,--,--,--,95.99万*,0%
WIC-Wi Coin,--,--,--,--,0%
GPU-GPU Coin,--,--,--,"4,047.7万",0%
HEC-英雄链,--,¥0.001668,¥20592.94,--*,-1.15%
VGC-拉斯维加斯币,--,--,--,--,0%
FAIR-公平币,--,--,--,"5,319.38万*",0%
ZUR-Zurcoin,--,--,--,"8,765.3万",0%
MZC-民族币,--,--,--,10.55亿,0%
BOAT-达布隆币,--,--,--,"7,206.82万",0%
SCRT-SecretCoin,--,--,--,422.87万*,0%
RKC-Royal Kingdom Coin,--,--,--,270万,0%
MST-MustangCoin,--,--,--,63.03万,0%
WDC-世界币,--,--,--,1.2亿,0%
MAG-麦奇,--,¥0.004079,¥61187.61,--,+8.41%
XVC-Vcash,--,--,--,"1,545.07万",0%
PLACO-PlayerCoin,--,--,--,"3,512万",0%
SPD-Stipend,--,--,--,553.11万,0%
WILD-Wild Crypto,--,--,--,"2,437.35万",0%
EPC-电竞链,--,¥0.014116,¥40.01万,--*,+0.69%
EUC-Eurocoin,--,--,--,"1,241.66万",0%
CHIPS-CHIPS,--,--,--,"2,099.53万",0%
SNIP-SnipCoin,--,--,--,--,0%
XCXT-CoinonatX,--,--,--,"1,953.96万",0%
FRD-Farad,--,--,--,1.35亿,0%
ONG-onG.social,--,--,--,"4,133.69万",0%
GREV2-Greencoin,--,--,--,31.14亿*,0%
XCPO-Copico,--,--,--,"1,574.67万*",0%
HAL-Halcyon,--,--,--,665.63万,0%
CACH-CacheCoin,--,--,--,419.51万,0%
NTO-Fujinto,--,--,--,"6,580.24万",0%
SONO-SONO,--,¥0.1607,¥101.45,--,+5.26%
VIPS-Vipstar Coin,--,--,--,339.29亿*,0%
RPX-红色脉冲,--,--,--,5.43亿*,0%
SMS-SMS,--,--,--,10.47万,0%
SPK-Sparks,--,¥0.049567,¥8913.67,--,+34.75%
STA-Starta,--,--,--,521.51万,0%
EVN-Envion,--,--,--,1.11亿,0%
CARBON-Carboncoin,--,--,--,153.92亿,0%
ZYD-Zayedcoin,--,--,--,624.38万,0%
EGAS-Ethgas,--,--,--,"1,015.75万*",0%
MAGN-Magnetcoin,--,¥0.092253,¥5335.96,--,+10.64%
AMM-MicroMoney,--,¥0.057307,¥56178.33,--,+16.05%
ACP-AnarchistsPrime,--,--,--,439.49万,0%
XRC-Rawcoin,--,--,--,70.49万,0%
PHS-Philosopher S...,--,--,--,601.43万*,0%
BXT-BitTokens,--,--,--,59.54万,0%
BIO-BioCoin,--,--,--,8.41亿*,0%
FYN-FundYourselfN...,--,--,--,87.75万,0%
RKT-Rock,--,--,--,4.8亿,0%
NEOG-NEO GOLD,--,¥0.002385,¥28.8148,--,+10.95%
DALC-Dalecoin,--,--,--,57.1万,0%
XNG-Enigma,--,--,--,"7,483.62万",0%
POSW-PoSW Coin,--,--,--,"4,410万*",0%
DTC-Datacoin,--,--,--,"3,450.83万",0%
OTX-Octanox,--,--,--,850万,0%
MEC-美卡币,--,--,--,"3,766.94万",0%
XVS-Vsync,--,--,--,1.07亿,0%
Q2C-量子币,--,--,--,3.36亿,0%
BTQ-BitQuark,--,--,--,"1,088.97万",0%
BIGUP-BigUp,--,--,--,21.38亿,0%
BCHABC-Bitcoin Cash ABC,¥105.17亿,¥602.29,¥3.17亿,"1,746.11万*",+8.73%
ROLC-再生链,¥19.7亿,¥0.6566,¥851.96万,30亿,+8.19%
XTZ-Tezos,¥17.12亿,¥2.8183,¥770.56万,6.07亿*,+2.60%
UL-优令,¥16.86亿,¥9.9654,¥25.79万,1.69亿,-4.14%
BCX-比特无限,¥15.54亿,¥0.008993,¥36万,"1,727.6亿*",-0.85%
BEC-美币,¥12.6亿,¥0.3600,¥12.73万,35亿*,-3.87%
FTO-FuturoCoin,¥11.78亿,¥36.3718,¥90.64万,"3,238.48万",+2.28%
BCD-比特币钻石,¥8.08亿,¥5.2371,"¥1,915.04万",1.54亿*,+1.02%
BTF-比特信仰,¥7.58亿,¥43.3901,--,"1,746.9万*",0%
BRC-贝尔链,¥6.83亿,¥4.7103,"¥2,062.13万",1.45亿*,-18.79%
CKUSD-CK USD,¥6.8亿,¥6.7968,¥1.16亿,1亿*,-0.46%
AOA-极光链,¥6.43亿,¥0.091859,¥275.53万,70亿,+6.05%
VNS-Venus,¥6.42亿,¥0.011886,¥6080.10,540亿*,+5.54%
ZB-ZB生态,¥6.22亿,¥0.8425,¥3.39亿,7.38亿*,+3.29%
ATP-星途协议,¥5.9亿,¥0.1474,¥417.47万,40亿*,+3.03%
SWTC-斯微特,¥5.54亿,¥0.005539,¥30578.12,"1,000亿*",+32.80%
MOAC-墨客,¥4.88亿,¥3.2496,¥827.33万,1.5亿*,+8.86%
BHD-比特硬盘,¥4.78亿,¥22.7567,¥33.35万,"2,100万",-7.75%
HOT-Holo,¥4.1亿,¥0.003080,¥532.62万,"1,332.15亿",+3.50%
PFT-PFT Token,¥4.09亿,¥16.3600,--,"2,500万*",-1.19%
BNK-Bankera,¥3.95亿,¥0.036186,¥166.46万,109.24亿,+10.32%
NRC-新零售币,¥3.86亿,¥0.007788,¥70.17万,496亿*,-0.94%
PAX-Paxos Standard,¥3.49亿,¥6.9373,¥4.44亿,"5,030.36万*",-0.45%
BTCP-Bitcoin Private,¥3.29亿,¥16.1267,¥31.95万,"2,040.38万",+6.64%
NPXS-Pundi X,¥2.99亿,¥0.003439,"¥1,241.06万",870.49亿,+2.47%
INB-Insight Chain,¥2.92亿,¥1.7612,¥909.67万,1.66亿,+3.67%
BTMC-Bit Miner Chain,¥2.89亿,¥2.8868,¥33.12万,1亿*,+3.47%
SW-Super Wallet,¥2.85亿,¥12.5462,¥47.42万,"2,268万*",+9.46%
HDAC-Hdac,¥2.83亿,¥0.1766,¥57.26万,16亿,+6.02%
NEXO-Nexo,¥2.78亿,¥0.4965,"¥1,142.75万",5.6亿,+9.10%
BHPC-算力现金,¥2.76亿,¥3.6795,¥24.11万,"7,500万",-1.72%
EMT-电音链,¥2.64亿,¥0.2755,¥45.87万,9.6亿*,-1.06%
LKY-林奇,¥2.56亿,¥5.1160,¥449.51万,"5,000万",+0.33%
BTH-比特热点,¥2.52亿,¥0.1460,¥273.12万,17.27亿*,+0.01%
XIN-Mixin,¥2.48亿,¥496.44,¥34626.93,50万,+3.86%
ONG-Ontology Gas,¥2.44亿,¥1.5479,¥55.27万,1.58亿,+0.51%
EURS-STASIS EURS,¥2.39亿,¥7.8650,¥86328.63,"3,037.92万",+1.50%
WAN-Wanchain,¥2.3亿,¥2.1502,¥246.47万,1.07亿*,+4.76%
HSR-红烧肉,¥2.24亿,¥5.2987,--,"4,220.64万",+6.53%
NPC-NPC,¥2.11亿,¥0.026397,"¥3,065.2万",80亿*,-9.54%
BZKY-Bizkey,¥2.1亿,¥0.1052,¥273.86万,20亿*,+0.09%
THETA-Theta,¥2.09亿,¥0.2964,¥626.24万,7.07亿*,+2.20%
PAI-Project PAI,¥2.06亿,¥0.3465,"¥1,147.03万",5.93亿*,+3.99%
DGTX-Digitex Futures,¥1.94亿,¥0.2659,¥207.68万,7.31亿,+6.01%
BU-BU-TOKEN,¥1.83亿,¥0.5235,"¥1,547.63万",3.5亿*,+3.80%
HYC-Hycon,¥1.83亿,¥0.096303,"¥1,360.34万",19亿,+3.24%
MITH-秘银币,¥1.8亿,¥0.4651,¥1.49亿,3.88亿*,+12.94%
FT-FCoin Token,¥1.78亿,¥0.087331,¥45.09万,20.38亿*,+4.55%
BTY-比特元,¥1.74亿,¥0.5276,¥25.02万,3.3亿,-1.93%
XYO-XYO Network,¥1.73亿,¥0.031042,¥53.61万,55.65亿,-1.20%
GT-Bitget Token,¥1.63亿,¥0.8134,"¥6,135.03万",2亿*,-16.67%
DICE-BetDice,¥1.59亿,¥0.074766,¥522.87,21.22亿*,+38.11%
DFT-炖粉条,¥1.57亿,¥0.8917,--,1.76亿,+0.47%
BAXS-盒轴链,¥1.56亿,¥0.6237,"¥3,034.61万",2.5亿*,-0.55%
ETZ-以太零,¥1.56亿,¥0.8030,¥231.2万,1.94亿*,-3.54%
CWV-CryptoWorld.VIP,¥1.55亿,¥0.038754,¥313.58万,40亿*,-0.39%
KEY-币乎,¥1.54亿,¥0.006160,¥41.36万,250亿*,+1.55%
TRIP-Trip Token,¥1.51亿,¥7.5500,--,"2,000万*",+1.76%
NSD-Nasdacoin,¥1.43亿,¥7.5895,¥79.91万,"1,889.91万",+0.54%
GBC-Gold Bits Coin,¥1.41亿,¥1.3299,¥107.80,1.06亿,+47.58%
INVE-InterValue,¥1.36亿,¥0.033922,¥342万,40亿,-7.05%
