币种,流通市值,全球指数,24H成交额,流通数量,24H涨幅
B2B-B2BX,"¥2,976.33万",¥1.8050,¥12.04万,"1,648.96万",+4.08%
PLBT-Polybius,"¥2,930.54万",¥7.3825,¥12312.62,396.96万,+18.48%
MSP-Mothership,"¥2,927.03万",¥0.2091,¥95162.92,1.4亿,+0.81%
CPX-Apex,"¥2,780.82万",¥0.062025,¥78.54万,4.48亿,+4.93%
LA-LAToken,"¥2,779.97万",¥0.3430,¥2283.55,"8,103.73万",+5.88%
UTNP-Universa,"¥2,772.69万",¥0.014998,¥80.9952,18.49亿,+13.21%
TV-钛值,"¥2,769.58万",¥0.1731,¥136.32万,1.6亿*,+9.19%
GAME-游戏币,"¥2,769.37万",¥0.3966,¥14.37万,"6,983.61万",+5.97%
EVX-Everex,"¥2,753.73万",¥1.3717,¥120.87万,"2,007.5万",+5.57%
MNX-MinexCoin,"¥2,736.05万",¥5.7713,¥17.07万,474.08万,+2.59%
LBC-LBRY Credits,"¥2,726.83万",¥0.1287,¥74869.96,2.12亿,+2.65%
FUEL-EtherParty,"¥2,720.37万",¥0.051471,¥128.71万,5.29亿,+6.15%
YOYOW-YOYOW,"¥2,697.49万",¥0.089916,¥225.04万,3亿,+4.07%
NMR-Numeraire,"¥2,687.17万",¥19.9149,¥84535.68,134.93万,+8.09%
STQ-Storiqa,"¥2,674.79万",¥0.002724,¥91.05万,98.21亿,-6.12%
VIB-Viberate,"¥2,646.41万",¥0.1478,¥460.94万,1.79亿,+6.53%
AST-AirSwap,"¥2,621.18万",¥0.1747,¥170.55万,1.5亿,+7.47%
COB-Cobinhood,"¥2,597.26万",¥0.066537,¥98075.44,3.9亿,+17.28%
TAU-Lamden,"¥2,594.21万",¥0.1824,¥20.03万,1.42亿,-1.21%
APPC-AppCoins,"¥2,594.18万",¥0.2593,¥215.31万,1亿,+3.79%
XRL-Rialto,"¥2,592.83万",¥0.3155,¥1821.99,"8,217.56万",+8.02%
MTH-Monetha,"¥2,580.92万",¥0.1182,¥91.29万,2.18亿,+6.42%
XAUR-Xaurum,"¥2,557.41万",¥0.2676,¥90786.91,"9,557.97万",+4.08%
FLASH-Flashcoin,"¥2,554.43万",¥0.028383,¥72379.33,9亿*,+37.82%
GNX-Genaro Network,"¥2,553.45万",¥0.1057,"¥1,496.33万",2.42亿*,-2.91%
FTC-羽毛币,"¥2,552.53万",¥0.1156,¥10.69万,2.21亿,+4.45%
TFD-TE-FOOD,"¥2,550.91万",¥0.050405,¥61147.35,5.06亿,+3.27%
BTO-铂链,"¥2,549.16万",¥0.053727,¥290.05万,4.74亿,+2.18%
MLN-Melon,"¥2,540.89万",¥32.6493,¥21390.62,77.82万,-4.14%
SHIFT-Shift,"¥2,524.69万",¥1.9904,¥69817.08,"1,268.4万*",+7.25%
HTML-Htmlcoin,"¥2,497.83万",¥0.000471,¥52881.03,530.67亿,+105.24%
PPY-Peerplays,"¥2,478.52万",¥5.5160,¥165.54万,449.34万*,-0.59%
ENU-牛油果,"¥2,466.05万",¥0.061651,¥38202.44,4亿*,-1.00%
